day,clustering,Nnodes,L/N,Firstday,First_Time
373,0.21331178022928038,3304,5.4491525423728815,2018-01-09,2019-01-17
374,0.21098056742567245,3310,5.4,2018-01-09,2019-01-18
375,0.21069917143622094,3311,5.363938387194201,2018-01-09,2019-01-19
376,0.21127094598602128,3331,5.302311618132693,2018-01-09,2019-01-20
377,0.21347363231746397,3364,5.291319857312723,2018-01-09,2019-01-21
378,0.2159207825474794,3391,5.282217634915954,2018-01-09,2019-01-22
379,0.21596212270702114,3452,5.274913093858633,2018-01-09,2019-01-23
380,0.21554497100014774,3469,5.218506774286538,2018-01-09,2019-01-24
381,0.21782656290480762,3482,5.174037909247559,2018-01-09,2019-01-25
382,0.21830566609967322,3473,5.167578462424417,2018-01-09,2019-01-26
383,0.21937848138673136,3473,5.151166138784912,2018-01-09,2019-01-27
384,0.2179059904117093,3468,5.140138408304498,2018-01-09,2019-01-28
385,0.21837512354600289,3455,5.183791606367583,2018-01-09,2019-01-29
386,0.21432639335868048,3471,5.2123307404206285,2018-01-09,2019-01-30
387,0.21191023292393496,3467,5.214883184309201,2018-01-09,2019-01-31
388,0.21003633346969533,3464,5.23729792147806,2018-01-09,2019-02-01
389,0.207400938249953,3474,5.238341968911917,2018-01-09,2019-02-02
390,0.20846282734282076,3477,5.248777681909692,2018-01-09,2019-02-03
391,0.20982333645513604,3513,5.267862226017649,2018-01-09,2019-02-04
392,0.20694467096021316,3545,5.271368124118477,2018-01-09,2019-02-05
393,0.20339657179281195,3534,5.305602716468591,2018-01-09,2019-02-06
394,0.20003963498221392,3536,5.302884615384615,2018-01-09,2019-02-07
395,0.19805831104591445,3567,5.280347631062518,2018-01-09,2019-02-08
396,0.1980707780296331,3572,5.261758118701008,2018-01-09,2019-02-09
397,0.19965679605685505,3544,5.307562076749436,2018-01-09,2019-02-10
398,0.1977259097143776,3539,5.3280587736648775,2018-01-09,2019-02-11
399,0.19743944985200793,3567,5.349593495934959,2018-01-09,2019-02-12
400,0.1940971209961318,3606,5.331114808652246,2018-01-09,2019-02-13
401,0.19347785136686566,3632,5.357929515418502,2018-01-09,2019-02-14
402,0.19215384542954472,3643,5.340104309634916,2018-01-09,2019-02-15
403,0.18943493179061363,3651,5.310873733223774,2018-01-09,2019-02-16
404,0.19220915457981033,3692,5.300920910075839,2018-01-09,2019-02-17
405,0.18942613471760775,3722,5.26625470177324,2018-01-09,2019-02-18
406,0.19213267263336228,3741,5.257417802726544,2018-01-09,2019-02-19
407,0.19209629453088597,3738,5.296415195291599,2018-01-09,2019-02-20
408,0.19389232765795342,3724,5.318474758324382,2018-01-09,2019-02-21
409,0.19231517422668745,3691,5.321593064210241,2018-01-09,2019-02-22
410,0.19062784450407683,3689,5.33477907291949,2018-01-09,2019-02-23
411,0.19406325074760764,3692,5.370260021668472,2018-01-09,2019-02-24
412,0.19426554601587576,3726,5.348094471282877,2018-01-09,2019-02-25
413,0.19346887250947573,3712,5.3626077586206895,2018-01-09,2019-02-26
414,0.18978538971121256,3713,5.372205763533531,2018-01-09,2019-02-27
415,0.19104488727261762,3716,5.346340150699677,2018-01-09,2019-02-28
416,0.18982244231653755,3704,5.314254859611231,2018-01-09,2019-03-01
417,0.18843542590106455,3705,5.303913630229419,2018-01-09,2019-03-02
418,0.1904202017334888,3728,5.240075107296137,2018-01-09,2019-03-03
419,0.1894928071006987,3723,5.2245500940102065,2018-01-09,2019-03-04
420,0.18938635693720404,3722,5.2219236969371305,2018-01-09,2019-03-05
421,0.19033579774242798,3722,5.141053197205803,2018-01-09,2019-03-06
422,0.1889630274349222,3726,5.073805689747719,2018-01-09,2019-03-07
423,0.19193803728560033,3709,5.033432191965489,2018-01-09,2019-03-08
424,0.19217456536743077,3669,4.996184246388662,2018-01-09,2019-03-09
425,0.19788233086792836,3620,5.002209944751381,2018-01-09,2019-03-10
426,0.19822578744224034,3591,4.998329156223893,2018-01-09,2019-03-11
427,0.19431666228365116,3591,4.9718741297688664,2018-01-09,2019-03-12
428,0.19101813101680948,3589,4.954304820284202,2018-01-09,2019-03-13
429,0.19578736781141243,3553,4.941457922882072,2018-01-09,2019-03-14
430,0.19741702302146938,3543,4.864239345187694,2018-01-09,2019-03-15
431,0.1994782954369065,3503,4.783899514701684,2018-01-09,2019-03-16
432,0.20468439069844507,3452,4.787369640787949,2018-01-09,2019-03-17
433,0.21250577671636595,3366,4.829768270944742,2018-01-09,2019-03-18
434,0.21105991242721783,3300,4.840606060606061,2018-01-09,2019-03-19
435,0.2136228683526444,3255,4.876497695852534,2018-01-09,2019-03-20
436,0.22005476540368196,3206,4.881784154709919,2018-01-09,2019-03-21
437,0.22265610914553496,3147,4.829361296472832,2018-01-09,2019-03-22
