Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2019-01-06,2019-02-04,1158,50,4.317789291882556,1108,4772,1445,770,2557,28.9,0.6949458483754513,2.711558854718982
2019-01-07,2019-02-05,1162,51,4.388984509466437,1111,4854,1472,779,2603,28.862745098039216,0.7011701170117012,2.74
2019-01-08,2019-02-06,1177,63,5.3525913338997455,1114,4936,1715,610,2611,27.22222222222222,0.547576301615799,2.634712411705348
2019-01-09,2019-02-07,1222,62,5.073649754500818,1160,5086,1740,613,2733,28.06451612903226,0.528448275862069,2.6482558139534884
2019-01-10,2019-02-08,1225,58,4.73469387755102,1167,5076,1685,663,2728,29.051724137931036,0.5681233933161953,2.658869395711501
2019-01-11,2019-02-09,1210,55,4.545454545454546,1155,5018,1603,698,2717,29.145454545454545,0.6043290043290044,2.68213228035538
2019-01-12,2019-02-10,1190,55,4.621848739495798,1135,4849,1546,680,2623,28.10909090909091,0.5991189427312775,2.6468213925327952
2019-01-13,2019-02-11,1178,57,4.838709677419355,1121,4788,1567,616,2605,27.49122807017544,0.5495093666369313,2.623363544813696
2019-01-14,2019-02-12,1195,56,4.686192468619247,1139,4839,1527,695,2617,27.267857142857142,0.6101843722563652,2.606573705179283
2019-01-15,2019-02-13,1195,58,4.853556485355648,1137,4810,1540,674,2596,26.551724137931036,0.592788038698329,2.5779543197616683
2019-01-16,2019-02-14,1210,55,4.545454545454546,1155,4818,1480,749,2589,26.90909090909091,0.6484848484848484,2.5838323353293413
2019-01-17,2019-02-15,1209,53,4.383788254755997,1156,4812,1458,753,2601,27.50943396226415,0.6513840830449827,2.595808383233533
2019-01-18,2019-02-16,1190,53,4.453781512605042,1137,4754,1420,754,2580,26.79245283018868,0.6631486367634125,2.616632860040568
2019-01-19,2019-02-17,1166,54,4.631217838765009,1112,4674,1409,750,2515,26.09259259259259,0.6744604316546763,2.6170655567117587
2019-01-20,2019-02-18,1149,54,4.699738903394256,1095,4602,1373,773,2456,25.425925925925927,0.7059360730593607,2.6267379679144387
2019-01-21,2019-02-19,1129,56,4.9601417183348095,1073,4511,1363,708,2440,24.339285714285715,0.6598322460391426,2.612419700214133
2019-01-22,2019-02-20,1103,61,5.530371713508613,1042,4411,1435,615,2361,23.524590163934427,0.5902111324376199,2.546925566343042
2019-01-23,2019-02-21,1110,59,5.315315315315315,1051,4472,1424,619,2429,24.135593220338983,0.5889628924833492,2.617456896551724
2019-01-24,2019-02-22,1181,61,5.165114309906858,1120,4614,1476,616,2522,24.19672131147541,0.55,2.5346733668341708
2019-01-25,2019-02-23,1178,48,4.074702886247878,1130,4583,1246,831,2506,25.958333333333332,0.7353982300884956,2.6378947368421053
2019-01-26,2019-02-24,1187,48,4.043807919123841,1139,4647,1254,860,2533,26.125,0.7550482879719052,2.6832627118644066
2019-01-27,2019-02-25,1201,44,3.6636136552872607,1157,4669,1203,946,2520,27.34090909090909,0.8176318063958513,2.7213822894168467
2019-01-28,2019-02-26,1179,49,4.156064461407973,1130,4585,1291,812,2482,26.346938775510203,0.7185840707964601,2.6404255319148935
2019-01-29,2019-02-27,1172,42,3.583617747440273,1130,4449,1128,932,2389,26.857142857142858,0.8247787610619469,2.6052344601962925
2019-01-30,2019-02-28,1150,42,3.652173913043478,1108,4350,1095,887,2368,26.071428571428573,0.8005415162454874,2.6340378197997776
2019-01-31,2019-03-01,1141,39,3.4180543382997373,1102,4298,1023,911,2364,26.23076923076923,0.8266787658802178,2.6681715575620766
2019-02-01,2019-03-02,1131,42,3.713527851458886,1089,4291,1074,871,2346,25.571428571428573,0.7998163452708907,2.6478555304740405
2019-02-02,2019-03-03,1108,42,3.7906137184115525,1066,4315,1103,830,2382,26.261904761904763,0.7786116322701688,2.6945701357466065
2019-02-03,2019-03-04,1100,42,3.8181818181818183,1058,4299,1096,805,2398,26.095238095238095,0.7608695652173914,2.7004504504504503
